STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
ACME,Acme,OK,34.81,-98.02,2015,7,1,15,25,92,68,46, ,96,SSW,15,20,1012.40,93,70, 
ADAX,Ada,OK,34.80,-96.67,2015,7,1,15,25,92,69,48, ,97,SSW,13,21,1012.46,92,74, 
ALTU,Altus,OK,34.59,-99.34,2015,7,1,15,25,97,65,36, ,100,SSW,17,23,1011.63,97,71, 
ALV2,Alva,OK,36.71,-98.71,2015,7,1,15,25,100,62,29, ,102,SW,17,24,1008.01,100,75, 
ANT2,Antlers,OK,34.25,-95.67,2015,7,1,15,25,89,70,53, ,94,SSW,10,17,1013.06,89,70, 
APAC,Apache,OK,34.91,-98.29,2015,7,1,15,25,92,66,42, ,95,SSW,20,27,1012.23,93,70, 
ARD2,Ardmore,OK,34.19,-97.09,2015,7,1,15,25,94,69,44, ,99,SW,16,20,1012.63,94,73, 
ARNE,Arnett,OK,36.07,-99.90,2015,7,1,15,25,97,60,30, ,97,SSW,12,19,1011.71,97,68, 
BEAV,Beaver,OK,36.80,-100.53,2015,7,1,15,25,95,60,31, ,95,E,3,6,1011.17,96,70, 
BESS,Bessie,OK,35.40,-99.06,2015,7,1,15,25,94,65,39, ,96,SSW,18,26,1011.30,95,71, 
BIXB,Bixby,OK,35.96,-95.87,2015,7,1,15,25,94,72,48, ,102,SSW,13,17,1010.35,96,74, 
BLAC,Blackwell,OK,36.75,-97.25,2015,7,1,15,25,98,60,29, ,98,SSW,14,22,1008.44,101,76, 
BOIS,Boise City,OK,36.69,-102.50,2015,7,1,15,25,95,49,21, ,91,N,9,13,1015.87,96,67, 
BOWL,Bowlegs,OK,35.17,-96.63,2015,7,1,15,25,91,73,56, ,100,S,11,15,1012.21,92,72, 
BREC,Breckinridge,OK,36.41,-97.69,2015,7,1,15,25, , , , , , , , , ,99,73, 
BRIS,Bristow,OK,35.78,-96.35,2015,7,1,15,25,92,73,54, ,100,SSW,11,17,1010.75,92,73, 
BROK,Broken Bow,OK,34.04,-94.62,2015,7,1,15,25,89,71,56, ,96,SSW,6,13,1013.12,90,67, 
BUFF,Buffalo,OK,36.83,-99.64,2015,7,1,15,25,104,57,22, ,103,WNW,9,13, ,104,75, 
BURB,Burbank,OK,36.63,-96.81,2015,7,1,15,25,93,67,42, ,97,SSW,17,23,1009.34,95,74, 
BURN,Burneyville,OK,33.89,-97.27,2015,7,1,15,25,91,69,49, ,96,SSW,16,22,1012.82,92,72, 
BUTL,Butler,OK,35.59,-99.27,2015,7,1,15,25,95,65,38, ,98,SSW,18,25,1011.06,96,68, 
BYAR,Byars,OK,34.85,-97.00,2015,7,1,15,25,90,70,51, ,96,SW,16,20,1012.49,91,72, 
CAMA,Camargo,OK,36.03,-99.35,2015,7,1,15,25,95,60,31, ,95,SW,17,23,1010.85,96,66, 
CARL,Lake Carl Blackwell,OK,36.15,-97.29,2015,7,1,15,25,95,68,41, ,100,SSW,18,26,1009.26,97,75, 
CENT,Centrahoma,OK,34.61,-96.33,2015,7,1,15,25,89,73,60, ,97,SSW,11,16,1012.41,89,73, 
CHAN,Chandler,OK,35.65,-96.80,2015,7,1,15,25,92,72,53, ,99,SSW,16,24,1011.04,93,73, 
CHER,Cherokee,OK,36.75,-98.36,2015,7,1,15,25,101,61,27, ,103,SW,15,25,1007.76,102,71, 
CHEY,Cheyenne,OK,35.55,-99.73,2015,7,1,15,25,92,63,38, ,93,SSW,17,21,1012.46,93,71, 
CHIC,Chickasha,OK,35.03,-97.91,2015,7,1,15,25,97,66,37, ,100,SSW,19,26,1011.39,97,72, 
CLAY,Clayton,OK,34.66,-95.33,2015,7,1,15,25,91,68,48, ,95,SSW,7,15,1012.82,92,74, 
CLOU,Cloudy,OK,34.22,-95.25,2015,7,1,15,25,88,70,55, ,93,SW,9,14,1013.54,89,69, 
COOK,Cookson,OK,35.68,-94.85,2015,7,1,15,25,88,74,64, ,97,S,6,10,1012.14,88,75, 
COPA,Copan,OK,36.91,-95.89,2015,7,1,15,25,90,71,55, ,96,SSW,11,16,1009.97,94,78, 
DURA,Durant,OK,33.92,-96.32,2015,7,1,15,25,90,70,51, ,96,SSW,14,20,1012.84,92,72, 
ELKC,Elk City,OK,35.33,-99.39,2015,7,1,15,25,94,63,36, ,95,SSW,22,30,1011.55,95,68, 
ELRE,El Reno,OK,35.55,-98.04,2015,7,1,15,25,93,65,40, ,96,SSW,21,28,1010.88,93,71, 
ERIC,Erick,OK,35.20,-99.80,2015,7,1,15,25,93,65,40, ,95,SSW,18,23,1012.18,94,66, 
EUFA,Eufaula,OK,35.30,-95.66,2015,7,1,15,25,89,73,59, ,98,SSW,15,21,1011.90,90,75, 
FAIR,Fairview,OK,36.26,-98.50,2015,7,1,15,25,99,62,30, ,101,SW,14,23,1008.90,99,70, 
FITT,Fittstown,OK,34.55,-96.72,2015,7,1,15,25,88,72,60, ,95,SSW,15,21,1013.10,89,70, 
FORA,Foraker,OK,36.84,-96.43,2015,7,1,15,25,91,71,52, ,97,SSW,15,22,1010.02,94,74, 
FREE,Freedom,OK,36.73,-99.14,2015,7,1,15,25,101,60,26, ,102,WSW,15,20,1009.01,102,74, 
FTCB,Fort Cobb,OK,35.15,-98.47,2015,7,1,15,25,97,63,33, ,99,SSW,17,22,1011.59,97,72, 
GOOD,Goodwell,OK,36.60,-101.60,2015,7,1,15,25,98,52,22, ,95,NE,11,19,1013.27,100,66, 
GRA2,Grandfield,OK,34.24,-98.74,2015,7,1,15,25,96,64,35, ,99,S,21,27,1012.01,97,73, 
GUTH,Guthrie,OK,35.85,-97.48,2015,7,1,15,25,95,67,40, ,99,SW,17,25,1009.92,95,75, 
HASK,Haskell,OK,35.75,-95.64,2015,7,1,15,25,92,75,58, ,102,SSW,15,21,1011.01,92,74, 
HECT,Hectorville,OK,35.84,-96.00,2015,7,1,15,25,91,74,57, ,100,S,15,22,1010.87,91,74, 
HINT,Hinton,OK,35.48,-98.48,2015,7,1,15,25,96,62,33, ,98,SSW,19,28,1011.15,96,70, 
HOBA,Hobart,OK,34.99,-99.05,2015,7,1,15,25,94,63,36, ,96,SSW,19,25,1011.69,95,69, 
HOLD,Holdenville,OK,35.07,-96.36,2015,7,1,15,25,90,73,58, ,98,S,16,20,1012.20,90,73, 
HOLL,Hollis,OK,34.69,-99.83,2015,7,1,15,25,96,62,32, ,97,SW,15,20,1011.97,97,69, 
HOOK,Hooker,OK,36.86,-101.23,2015,7,1,15,25,97,54,24, ,95,N,7,16,1012.48,100,67, 
HUGO,Hugo,OK,34.03,-95.54,2015,7,1,15,25,90,70,52, ,96,SSW,16,23,1013.18,91,72, 
IDAB,Idabel,OK,33.83,-94.88,2015,7,1,15,25,92,72,53, ,100,SSW,12,19,1013.34,92,71, 
INOL,Inola,OK,36.14,-95.45,2015,7,1,15,25,91,76,62, ,103,S,16,21,1010.78,92,73, 
JAYX,Jay,OK,36.48,-94.78,2015,7,1,15,25,87,73,64, ,94,SSW,6,11,1012.09,89,76, 
KENT,Kenton,OK,36.83,-102.88,2015,7,1,15,25,94,48,21, ,90,NNE,9,19,1016.64,95,66, 
KETC,Ketchum Ranch,OK,34.53,-97.76,2015,7,1,15,25,92,70,50, ,98,SSW,15,22,1012.29,92,70, 
KIN2,Kingfisher,OK,35.85,-97.95,2015,7,1,15,25,98,66,35, ,102,SSW,25,31,1009.49,99,74, 
LAHO,Lahoma,OK,36.38,-98.11,2015,7,1,15,25,98,62,30, ,100,SW,17,25,1008.75,100,68, 
LANE,Lane,OK,34.31,-96.00,2015,7,1,15,25,89,71,54, ,95,S,13,21,1012.82,90,73, 
MADI,Madill,OK,34.04,-96.94,2015,7,1,15,25,90,69,50, ,96,SSW,11,20,1012.79,91,73, 
MANG,Mangum,OK,34.84,-99.42,2015,7,1,15,25,95,64,37, ,97,SW,15,24,1011.59,95,68, 
MARE,Marena,OK,36.06,-97.21,2015,7,1,15,25,94,68,42, ,99,SSW,16,24,1009.81,94,75, 
MAYR,May Ranch,OK,36.99,-99.01,2015,7,1,15,25,100,58,25, ,100,W,9,14,1008.94,101,73, 
MCAL,McAlester,OK,34.88,-95.78,2015,7,1,15,25,90,71,53, ,96,SW,8,16,1012.70,90,74, 
MEDF,Medford,OK,36.79,-97.75,2015,7,1,15,25,99,56,24, ,98,SW,13,18,1008.13,102,76, 
MEDI,Medicine Park,OK,34.73,-98.57,2015,7,1,15,25,93,67,43, ,96,SSW,19,28,1012.46,93,71, 
MIAM,Miami,OK,36.89,-94.84,2015,7,1,15,25,86,74,66, ,94,SSW,10,14,1010.96,89,77, 
MINC,Minco,OK,35.27,-97.96,2015,7,1,15,25,93,69,46, ,98,SSW,20,27,1011.41,93,69, 
MRSH,Marshall,OK,36.12,-97.61,2015,7,1,15,25,97,66,36, ,101,SSW,20,31,1008.81,99,74, 
MTHE,Mt Herman,OK,34.31,-94.82,2015,7,1,15,25,86,71,60, ,91,SSW,7,13,1014.33,88,69, 
NEWK,Newkirk,OK,36.90,-96.91,2015,7,1,15,25,93,68,44, ,98,S,15,21,1009.52,98,77, 
NEWP,Newport,OK,34.23,-97.20,2015,7,1,15,25,90,70,52, ,96,SSW,19,27,1012.48,91,71, 
NINN,Ninnekah,OK,34.97,-97.95,2015,7,1,15,25,94,67,42, ,98,SSW,17,23,1011.64,94,70, 
NOWA,Nowata,OK,36.74,-95.61,2015,7,1,15,25,90,73,59, ,98,S,10,14,1010.03,93,76, 
NRMN,Norman,OK,35.24,-97.46,2015,7,1,15,25,92,69,48, ,97,SSW,14,21,1011.81,93,73, 
OILT,Oilton,OK,36.03,-96.50,2015,7,1,15,25,93,72,50, ,102,SW,12,23,1010.24,94,75, 
OKCE,Oklahoma City East,OK,35.47,-97.46,2015,7,1,15,25,93,69,46, ,99,SSW,12,21,1011.19,94,76, 
OKCN,Oklahoma City North,OK,35.56,-97.51,2015,7,1,15,25,94,68,43, ,99,SSW,17,24,1011.04,95,76, 
OKEM,Okemah,OK,35.43,-96.26,2015,7,1,15,25,90,73,57, ,98,S,14,22,1011.84,92,72, 
OKMU,Okmulgee,OK,35.58,-95.91,2015,7,1,15,25,91,74,58, ,100,SSW,11,16,1011.52,92,74, 
PAUL,Pauls Valley,OK,34.72,-97.23,2015,7,1,15,25,90,70,52, ,96,SSW,11,16,1012.40,90,72, 
PAWN,Pawnee,OK,36.36,-96.77,2015,7,1,15,25,95,70,44, ,102,SSW,19,26,1009.70,96,73, 
PERK,Perkins,OK,36.00,-97.05,2015,7,1,15,25,96,67,39, ,100,SSW,17,25,1009.97,97,73, 
PORT,Porter,OK,35.83,-95.56,2015,7,1,15,25,91,74,59, ,101,S,14,21,1011.25,91,75, 
PRYO,Pryor,OK,36.37,-95.27,2015,7,1,15,25,91,74,57, ,100,S,17,23,1010.58,94,75, 
PUTN,Putnam,OK,35.90,-98.96,2015,7,1,15,25,94,63,35, ,96,SSW,20,26,1011.16,95,70, 
REDR,Red Rock,OK,36.36,-97.15,2015,7,1,15,25,96,67,38, ,100,SSW,24,32,1008.96,97,75, 
RING,Ringling,OK,34.19,-97.59,2015,7,1,15,25,92,70,48, ,98,SSW,18,24,1012.51,93,70, 
SALL,Sallisaw,OK,35.44,-94.80,2015,7,1,15,25,91,74,57, ,101,SSW,10,15,1011.80,91,73, 
